Report Generated: 2024-01-15 10:30:00
Data Source: Sales Management System
OrderID,CustomerID,OrderDate,ProductName,Quantity,UnitPrice,TotalAmount
1001,C001,2024-01-01,Laptop,2,1200.00,2400.00
1002,C002,2024-01-02,Mouse,5,25.50,127.50
1003,C001,2024-01-03,Keyboard,3,75.00,225.00
1004,C003,2024-01-04,Monitor,1,350.00,350.00
1005,C002,2024-01-05,USB Cable,10,5.99,59.90
1006,C004,2024-01-06,Laptop,1,1200.00,1200.00
1007,C003,2024-01-07,Mouse,2,25.50,51.00
1008,C005,2024-01-08,Keyboard,1,75.00,75.00
1009,C001,2024-01-09,Monitor,2,350.00,700.00
1010,C004,2024-01-10,USB Cable,20,5.99,119.80
Total Records: 10
